id,原始问题,改写问题
398,使用蓝牙的手机很费电吗？ ,用蓝牙的手机费电吗？
399,国内银行资本充足率有何硬性规定？ ,国内银行资本充足率有什么硬性规定？ 
400,狮子座都很霸道吗？ ,狮子座都很霸道吗？
401,世界末日是什么时候会真的有世界末日吗 ,现实中真的有世界末日吗
402,年会前放什么样的音乐 ,年会前应该放什么音乐？
403,新浪积分怎么查？新浪邮箱积分 ,怎么查新浪积分？
404,认股权证基金对个人投资者开放吗 ,认股权证基金对个人投资者开放吗 
405,怎么把照片传到百度上传到百度图片里 ,如何把照片传到百度上？
406,什么是魔幻现实主义？ ,魔幻现实主义是什么？
407,怎么做化妆品专柜小姐 ,如何做化妆品专柜小姐？
408,女生报考数学与应用数学专业如何 ,女生报考数学与应用数学怎么样？
409,常见的气体干燥剂有哪些 ,常见的气体干燥剂都有什么
410,小腹疼痛会是什么病（男） ,小腹疼痛是什么病
411,小孩子生病怎么哄骗都不肯吃药怎么办？ ,小孩子生病不肯吃药怎么办？
412,2尺8和2尺7误差是多少厘米 ,2尺8和2尺7误差是多少厘米 
413,推荐一些好的数码照相机性价比好 ,请推荐一些性价比好的数码相机？
414,谁杀梁山好汉最多?是石宝吗? ,谁杀梁山好汉最多？
415,反猛和力猛哪个好？优点在哪？缺点在哪？ ,反猛和力猛哪个好呢？
416,请问抑郁症好治吗能否根治谢谢 ,抑郁症好治吗
417,办真建筑工程师证如何办? ,如何办理建筑工程师证？
418,花的问题康乃馨多贵啊有啥用啊？ ,康乃馨有多贵？
419,地图导航快捷是什么啊？ ,什么是地图导航快捷？
420,怎么才能注册帐号？什么时候能解决啊？？ ,如何注册账号？
421,怎样注销微博 ,怎么注销微博
422,大宝眼霜的效果好吗 ,大宝眼霜的效果怎么样？
423,河南开封的日照间距系数? ,河南开封的日照间距系数是多少？
424,怎么激活邮箱如题最好能一步一步来 ,如何激活邮箱？
425,电视机用网线看直播为什么老是卡 ,为什么在电视上用网线看直播总是卡？
426,侠义道2真气有什么用？ ,侠义道2里的真气能干嘛？
427,我们的身高用什么单位？ ,身高应该用什么单位？
428,目前都有哪些国家的飞船成功上天了？ ,目前成功上天的飞船都是哪些国家的？
429,上网聊天有什么好处和害处? ,上网聊天有什么好处有什么坏处？
430,孙燕姿的老公叫什么 ,孙燕姿的老公叫什么？
431,男人是不是很喜欢说谎啊？为什么？ ,男人是不是很喜欢说谎？
432,沙鹰加普通弹能不能打穿防弹衣 ,防弹衣能不能被沙鹰加普通弹打穿？
433,结婚后，能否还可以初恋情人联系？ ,结婚后是否还可以和初恋情人联系？
434,爱得太无奈太累为什么爱那么累呢 ,为什么爱那么累呢？
435,为什么牛奶不宜与巧克力同时食用 ,牛奶和巧克力为什么不宜同时食用？
436,如何在新浪博客中添加友情链接？ ,如何在新浪博客中添加友情链接？ 
437,是不是所有的女人现在结婚都要有房子啊 ,是不是所有的女人结婚都要有房子？
438,硅钨酸是什么 ,什么是硅钨酸？
439,现在的人傻一些好？还是聪明一些好？ ,现在的人傻一些好还是聪明一些好？
440,怎么注销博客? ,博客怎么注销？
441,中国五大经济特区的哪呢？ ,哪里是中国五大经济特区？
442,QQ网络硬盘里的东西怎么删除不了？ ,为什么删除不了qq网络硬盘里的东西？
443,QQ网络硬盘密码如何设置和取消 ,如何设置取消qq网络硬盘密码？
444,耳朵里面痛怎么回事？ ,耳朵里痛该怎么办
445,感觉苦闷大家怎样看/ ,感觉苦闷该怎么办
446,历史上的皇帝发布过罪己诏吗？ ,历史上的皇帝发布过罪己诏吗？ 
447,求中国福彩双色球的官网 ,中国福彩双色球的官网是哪个？
448,冬季，室内有小苍蝇，这是怎么造成的 ,为什么冬天室内有小苍蝇？
449,怎样治疗白斑 ,如何治疗白斑？
450,怎么快速清除瓷砖上的蜡 ,如何快速清除瓷砖上的蜡？
451,怎样查每日资金流入量大的股票？ ,如何查询每日资金流入量大的股票？
452,两个月的宝宝三天没有大便是啥原因 ,为什么两个月的宝宝三天没有大便？
453,网游小说好看的.要完本..精品.. ,有什么完本的网游小说比较好看/
454,请问博主，你喜欢哪个歌手？为什么喜欢？ ,你喜欢哪个歌手？
455,校内怎么设置留言条数？高手指教 ,如何设置留言条数？
456,船用挂浆机是什么？有什么作用？ ,船用挂浆机有什么作用？
457,为何结婚后男女都爱发胖？ ,为何男女在结婚后都爱发胖？
458,面对海啸我们可以做些什么 ,我们在面对海啸的时候可以做些什么？
459,有什么好看的综艺节目? ,什么综艺节目比较好看？
460,平均坐多少小时飞机才会遇上一次空难？ ,平均坐多少小时飞机才会遇上一次空难？ 
461,‘投其所好’是沟通的技巧吗？ ,‘投其所好’是沟通的技巧吗？ 
462,靠玩游戏赚到钱靠谱吗 ,赚钱靠玩游戏靠谱吗？
463,用什么方式接吻最好？ ,接吻用什么方式最好？
464,郑州开封信阳这三地儿哪个更好点儿 ,郑州开封信阳哪个地方好？
465,献血后咳嗽~~~急 ,献血后咳嗽怎么办？
466,什么是抵押品? ,抵押品是指什么？
467,银镯子上的黑色氧化有什么办法去除吗？ ,有什么办法可以去除银镯子上的黑色氧化？
468,美版苹果5S可以用指纹解锁吗 ,美版苹果5S可以用指纹解锁吗 
469,鸿鹄与大雁、天鹅的异同？ ,鸿鹄与大雁、天鹅有什么异同？
470,考教师资格证需考那几门课程？谢谢了。 ,教师资格证需要考哪几门课程？
471,儿童青少年缺铁会导致什么样的结果 ,青少年缺铁会有什么后果？
472,迅雷能下载BT文件吗？ ,迅雷可以下载BT文件吗？
473,新手如何快速轻松地赚钱?高手们帮帮忙 ,新手如何快速轻松地赚钱？
474,哈雷慧星为何光临地球？ ,哈雷慧星为何光临地球？
475,空中预警飞机为什么要背着大圆盘 ,空中预警飞机为什么要背着大圆盘
476,想做网络优化的整理，怎么做呢？ ,网络优化的整理怎么做？
477,会计怎么回事会计的种类，都包括什么。 ,会计的种类都包括什么？
478,请问？SWF文件如何打开 ,SWF文件怎么打开？
479,音箱分嵌入式音响和什么音响 ,音箱分嵌入式音响和什么音响 
480,我怎么不能写邮件？ ,我为什么不能写邮件？
481,怎样对心爱的人表白？要很打动人的方式？ ,如何对心爱的人表白？
482,考研复试英语听力如何准备 ,如何准备考研复试英语听力？
483,硫化锌的特性 ,硫化锌有什么特性？
484,有水果生长在地里的吗? ,水果有生长在地里的吗？
485,微博勋章和军人勋章有什么不同?lisa ,军人勋章和微博勋章有什么不同？
486,如何制作简单的网页? ,如何制作简单的网页? 
487,入籍和得到绿卡的区别 ,入籍和绿卡有什么区别？
488,"""大智若愚""是谁说的? ",是谁说的"大智若愚"？
489,现在初学者可以直接考B2驾驶证吗 ,初学者可以直接考B2驾驶证吗？
490,蒸汽机的工作原理 ,蒸汽机的工作原理是什么？
491,人早上起来先睁开哪只眼睛 ,人早上起来先睁开哪只眼睛 
492,药店的天麻可以怎么个吃法？ ,药店的天麻可以怎么个吃法？ 
493,前胸后背长痘痘 ,前胸后背长痘痘该怎么办呢？
494,"一日不见,如隔三秋,三秋指多长时间啊 ",一日不见如隔三秋中的三秋指多长时间？
495,苦瓜要怎样做好吃而且不苦？ ,怎样做苦瓜好吃而且不苦？
496,电热水壶用那个方法可以去异味? ,电热水壶如何去异味？
497,爱要怎么说出口？ ,爱要怎么说出口？ 
498,日落半林中打一字~！我找最贴切的 ,日落半林中打一字
499,处理银行不良资产的公司有那些? ,处理银行不良资产的公司有那些? 
500,潜艇是什么材料制成的？ ,潜艇是用什么材料制成的？
501,生物存在的必要条件有哪些？ ,哪些是生物存在的必要条件？
502,虽万千人吾向往矣这句话出自哪里? ,虽万千人吾向往矣这句话出自哪里? 
503,用测孕纸怎么样看排卵期?(在线等哦) ,怎么样用测孕纸看排卵期？
504,现金支票的背面也要盖财务章和人名章吗? ,现金支票的背面也要盖财务章和人名章吗? 
505,在电脑旁边，放什么花卉防辐射？ ,电脑旁边放什么花卉可以防辐射？
506,一个商场除了信誉售货诚信还需要什么 ,商城除了售货诚信还需要什么？
507,大蒜怎样吃药用价值才高 ,怎样吃大蒜药用价值才高？
508,酒糟鼻可以用什么药治疗呢？ ,什么药可以治疗酒精鼻呢？
509,孕期高血糖是不是糖尿病 ,孕期高血糖是糖尿病吗？
510,双核电脑是否需要用多核电源？ ,双核电脑是否需要用多核电源？ 
511,宝宝头上、脸上长湿疹很长时间了怎么办、 ,宝宝头上长湿疹怎么办？
512,曾子之妻之市中的之与市各是什么意思 ,曾子之妻之市中的之与市各是什么意思 
513,谁能说说外阴白斑和年龄有关系吗？ ,外阴白斑和年龄有关系吗？
514,一个品牌的发展，靠的是什么？ ,一个品牌的发展靠的是什么？
515,抢白是什么意思？ ,抢白是什么意思？
516,清明节是兴起几？几号？ ,清明节是什么时候？
517,单反拍夜景一定要用三脚架吗？ ,单反拍夜景一定要用三脚架吗？ 
518,高转速能清洗积碳吗? ,积碳能高转速清洗吗？
519,枭龙是不是现在我国最好的战斗机 ,枭龙现在是我国最好的战斗机吗？
520,县人大主任是什么级别啊?多谢 ,县人大主任是什么级别呢？
521,孕前和孕后吃爱乐维都是一天一片吗？ ,孕前和孕后吃爱乐维都是一天一片吗？ 
522,石家庄二环有多长？一圈有多少公里？ ,石家庄二环有多长呢？
523,"买房子需要注意哪些证件？, ",买房子需要注意哪些证件？
524,事业和爱情孰轻孰重? ,爱情和事业孰轻孰重？
525,做事最省力的办法是什么 ,什么是做事最省力的办法
526,一岁的孩子没有自主意识怎么办 ,一岁的孩子没有自主意识该怎么办？
527,有些主板不兼容DVD光驱是不是？ ,有些主板是否不兼容DVD光驱？
528,谁能告诉我‘父约圆月’什么意思 ,‘父约圆月’是什么意思？
529,孩子自律性不好，我该怎么引导呢 ,孩子自律性不好该如何引导？
530,什么是双宫茧桑蚕丝？ ,双宫茧桑蚕丝是什么？ 
531,土壤板结怎样改良 ,怎样改良土壤板结？
532,如何治疗心理性尿等待？ ,心理性尿等待如何治疗？ 
533,瘦脸.急如何在短时间内迅速瘦脸? ,如何在短时间内迅速瘦脸？
534,为什么我努力耐心回答分数底? ,为什么我努力耐心回答分数还是低? 
535,想转移注意力应该怎么办，做些什么？ ,想转移注意力应该做些什么？
536,怎样做好一个学校元旦主持人 ,如何才能做好一个学校元旦主持人？
537,纳税调整是什么概念? ,纳税调整是什么意思？
538,司机进汽车后第一件事是什么？ ,司机进汽车后第一件事是什么？ 
539,当兵的什么时候可以回家探亲 ,当兵的什么时候可以回家探亲 
540,"""起草""是什么意思? ",什么是"起草"？
541,工行的银行卡相比华夏银行有什么优势? ,工行的银行卡相比华夏银行有什么优势? 
542,八月北京都有哪些话剧演出？ ,北京八月有哪些话剧演出？
543,朋友之间总是假意的客套好不好. ,朋友之间总是假意的客套好不好？
544,如何在电脑上查询手机短信息 ,怎么在电脑上查询手机短信息呢？
545,想拍衣服包包的东西请问要什么摄影器材? ,拍衣服包包要什么摄影器材？
546,文章由哪几部分组成 ,文章由哪几部分组成？
547,如何办理公积金贷款？ ,怎么办理公积金贷款？
548,管道品牌，国产的和进口的区别在哪？ ,国产的和进口的区别是什么？
549,蚊子怎么会吸完血就会死调呢? ,为什么蚊子吸完血就会死？ 
550,老嘎三千是褒义词还是贬义词? ,老嘎三千是褒义词还是贬义词? 
551,为什么有的狮子长翅膀，那是什么狮子 ,为什么有的狮子长翅膀？
552,白细胞减少怎么回事 ,白细胞减少是为什么？
553,丙级病历的判定标准是什么 ,丙级病历的判定标准是什么呢？
554,多普达586的显示屏有多少英寸 ,多普达586的显示屏有多少英寸 
555,请问电脑死机怎么办电脑用了一会就不动了 ,电脑死机该怎么办？
556,怎么删号 ,如何删号
557,请问仰卧起坐之类的可以减肥吗? ,仰卧起坐之类的可以减肥吗？
558,数字会议主机包括哪些内容 ,数字会议主机包括哪些？
559,什么叫“日值破月”？ ,什么叫“日值破月”？
560,如何快速学会吉它？ ,怎么能快速学会吉他？
561,液压系统的辅助原件有哪些？ ,哪些是液压系统的辅助原件？
562,如果忘了保护码要怎样才能清除啊 ,如果忘了保护码要如何清楚？
563,如何养殖龙虾? ,龙虾该如何养殖？
564,哪些是十一五规划的受益股？ ,十一五规划的受益股是哪些？
565,西班牙的世界杯前景怎么样? ,西班牙的世界杯是什么样？
566,印花税在国税还是地税申请 ,印花税在国货申请还是地税申请
567,光线飞车的推广代码怎么用啊 ,如何使用光线飞车的推广代码？
568,脑筋急转弯2什么时候四减三会等于五? ,什么时候四减三会等于五？
569,描写全世界各地的成语有什么 ,描写全世界各地的成语有什么
570,后背长痘痘怎么办？ ,后背上长痘痘该怎么样？
571,世界上最好的书是什么书？ ,世界上最好的书是什么书？
572,种族背景是啥啊？ ,种族背景是什么？
573,头皮厚是怎么回事 ,头皮后是因为什么？
574,如何找大客车开 ,怎么找大客车开
575,怎么选一个适合自己职业？ ,如何选择一个适合自己的职业？
576,怎样的行为算是过激行为？哆嗦么？ ,什么行为算是过激行为？
577,有什么好玩的游戏网游的或者手机上的 ,手机上有什么好玩的游戏
578,销售货物的赋税率怎么计算 ,怎么计算销售货物的赋税率？
579,生活垃圾该怎么处理？ ,应该怎么处理生活垃圾？
580,大家有较伤感的歌曲吗？推荐几首吧！！！ ,可以推荐几首比较伤感的歌曲吗？
581,户口本上的年龄错误怎么改？ ,户口本上的年龄错误怎么改？ 
582,怎么查微信聊天记录?删除的能找回来吗 ,如何查微信聊天记录？
583,怎样区分座机号和小灵通号？ ,座机号和小灵通号怎么区分？
584,二进制的数字1到20分别应该怎么表示？ ,数字1到20的二进制分别怎么表示？
585,自榨果汁需要加热吗？ ,自榨的果汁要加热吗？
586,双色球中五红球是几等奖 ,双色球中五个红球是几等奖 
587,请问首乌在哪个地方比较多? ,哪个地方的首乌比较多？
588,什么是行政许可？ ,行政许可是什么？
589,怎样鉴定皮革服装的真伪呢？ ,如何鉴定皮革服装的真伪？
590,怎样建立网站?用什软件比较好? ,怎么建立网站？
591,请问为什么有的股票的代码是02打头 ,为什么有的股票代码是02打头？
592,三星手机怎么刷机解锁 ,三星手机怎么刷机
593,科比在哪支球队效力 ,科比在哪支球队
594,北京有几个火车站？？ ,北京有多少火车站呢？
595,"一人一张口,口下长只手,猜一字 ","一人一张口,口下长只手,猜一字 "
596,有什么办法能让我彻底戒除网瘾？ ,彻底戒除网瘾的办法
597,100人同时在线的视频会议有木有？ ,有没有100人同时在线的视频会议？
598,豆腐干吃多了会发胖吗 ,豆腐干吃多会发胖吗
599,怎样通过浏览器登录服务器 ,怎么通过浏览器登录服务器
600,胃酸过多怎么办？一定要吃药吗？ ,胃酸过多怎么办？
601,农历1980年10月14日的公历是多少 ,农历1980年10月14日的公历是多少 
602,仁者乐山的"乐"读什么 ,仁者乐山的"乐"怎么读？
603,我们常说的电脑芯片指的就是cpu吗? ,cpu是指电脑芯片吗？
604,电脑游戏真的没好处吗？ ,电脑游戏真的没好处吗？
605,智能手机能安装软件?什么软件都可以吗? ,智能手机可以安装什么软件？
606,距离传感器有哪些具体应用？ ,距离传感器有哪些具体应用？ 
607,企业客户关系管理软件用后的效果明显吗? ,企业客户关系管理软件用后的效果明显吗? 
608,混凝土泵送剂可不可以当减水剂用？ ,混凝土泵送剂可不可以当减水剂用？ 
609,搜索引擎中使用率和占有率是什么意思？ ,使用率和占用率在搜索引擎中是什么意思？
610,什么东西在倒立之后会增加一半？ ,什么东西在倒立之后会增加一半？ 
611,你对足球理解是什么! ,对足球该怎么理解？
612,由头是什么意思? ,由头是什么意思？
613,有什么好看的短篇小说吗 ,什么短篇小说比较好看？
614,如何才能学好JAVA如题 ,如何才能学好JAVA
615,怎样把一个网页保存到指定的文件夹下 ,如何把网页保存到指定文件夹下？
616,天天用湿巾洗脸合适吗 ,用湿巾洗脸合适吗
617,婆媳关系怎么才能婆婆和儿媳关系更融洽 ,婆媳关系怎样才能更融洽？
618,应用物理学主要研究什么？ ,应用物理学主要是研究什么？
619,追求很感性的女生应注意什么？ ,追求性感的女生应该注意什么？
620,宁波劳动局电话是多少???急求回答 ,宁波劳动局电话是多少？
621,925的纯银价格是多少 ,925的纯银价格是多少？
622,请问601899的股权登记日是几时？ ,股权登记日是什么时候？
623,QUESTION玫瑰为什么会有刺? ,为什么玫瑰会有刺？
624,造船业都有哪些上市公司？谢谢 ,造船业有哪些上市公司？
625,坏甘蔗里面红色的是什么 ,坏甘蔗里红色的物质是什么？
626,每人每天喝多少水为好？ ,每天喝多少水比较好？
627,达人生日勋章怎么领 ,怎么领达人勋章
628,戒指戴手指取不下来了 ,戒指戴手上取不下来了怎么办？
629,树脂，塑料的区别在什么地方？如题。 ,树枝和塑料的区别在哪里？
630,如何像明星那样保持年轻？ ,怎么像明星那样保持年轻？
631,紫色风信子的花语是代表什么呢？ ,紫色风信子的花语代表什么？
632,微博达人怎么申请 ,怎么申请微博达人
633,哪里有免费的港股实时行情软件下载？？ ,哪里有免费的港股软件可以下载？
634,世界末日会来临吗？？？？？ ,世界末日会来临吗
635,脸上黑痣激光点去后注意什么 ,黑痣激光祛点以后要注意什么
636,什么是蓝筹股？ ,什么是蓝筹股？
637,"""九宫格”的创始人是 ",九宫格的创始人是谁？
638,世纪佳缘靠谱吗？ ,世纪佳缘网站靠谱吗？
639,猫咪在呼吸时为什么发出“咕咕”的怪声？ ,为什么猫咪呼吸的时候会发出咕咕的怪声？
640,为什么有些孩子不愿向父母讲心里话 ,有些孩子为什么不愿像父母说心里话
641,唐诗《寒食》的作者名怎么念？ ,唐诗寒食的作者是谁
642,什么灯最节能,最节能的是什么灯？
643,人生的四项基本原则是什么,什么是人生四项基本原则？
644,青岛公司注册条件是什么？,什么是青岛公司的注册条件？
645,提高睡眠质量的方法是什么？为什么可以提高？怎样提高？以及有什么副? ,什么方法可以提高睡眠质量？
646,吃什么药能增加体内女性荷尔蒙分泌,可以增加体内女性荷尔蒙分泌的药物是什么？
647,为什么？铁锤锤鸡蛋为什么锤不破？,为什么铁锤锤鸡蛋锤不破？
648,从1到9哪个数字最勤劳，哪个数字最懒惰？,从1到9哪个数字最勤劳？哪个数字最懒惰？
649,能被7整除的数的特征是什么?,能被7整除的数有什么特征？
650,什么是宏观调控,宏观调控是什么意思？
651,导致离心泵震动的原因有哪些啊？,哪些原因能导致离心泵震动？
652,芥末产于树上还是一种作物?生长习性及分布?,芥末产于树上还是一种作物？
653,肝血管瘤的检查方法有哪些呢,哪些是肝血管瘤的检查方法？
654,家用电磁炉的频率是多少？ ,家用电磁炉的频率是多少？ 
655,怎么选择煲汤的锅？,煲汤的锅该怎么选择？
656,捷豹车标的由来和车标表示的含义,捷豹车标的由来和表示的含义是什么？
657,二战时有多少种双翼机?,二战时有几种双翼机？
658,眼皮浮肿怎么办?有什么办法可以有效祛除浮肿啊?,怎样可以有效祛除眼皮浮肿？
659,如何应对别人询问自己的收入？,别人问自己的收入时如何应对？
660,中国最大的超市?,中国最大的超市是哪个？
661,中药香薰治疗的疾病有哪些？,哪些疾病是中药香薰可以治疗的？
662,怎么理解osi各层的作用？怎么理解osi各层的作用呢？,如何理解osi各层的作用？
663,白癜风怎样治疗？昆明手术治疗白癜风,怎么样治疗白癜风？
664,介绍柬树的习性？,柬树的习性是什么？
665,儿童牙齿什么时候矫正最合适?儿童牙齿都不整齐,什么时候纠正儿童牙齿最合适？
666,感冒一般分几种？都是什么病毒引起的？（越详细越好，谢谢）,感冒是因为什么病毒引起的？
667,怎样集中注意力？我上课总是爱跑神，听课效率很低。,上课如何集中注意力？
668,为什么睡眠不足会有黑眼圈？,睡眠不足为什么会有黑眼圈？
669,中风偏瘫的老年人，应该多吃些什么,中风偏瘫的老年人应该多吃什么？
670,被称为谪仙人的是谁,谁被称为谪仙人？
671,客服热线什么时候正式开通？,什么时候正式开通客服热线？
672,单片机内存大小怎么测量？,如何测量单片机的内存大小？
673,什么动物不用做事就有东西吃,哪种动物不用做事就有东西吃？
674,葡萄酒中的干红干红解百纳分别是什么意思？,葡萄酒中的干红解百纳分别是什么意思？
675,那谁可以告诉我法律援助电话，,法律援助电话是多少？
676,如何才能做一个受欢迎的人呢?,如何做一个受欢迎的人？
677,这种自行车架如何调整链条松紧？,如何调整自行车的链条松紧？
678,化学浓度为多少的硫酸可以说是浓硫酸,浓硫酸是指化学浓度多少的硫酸？
679,申请领取施工许可证有哪些条件？,领取施工许可证的申请需要哪些条件？
680,中性洗剂是指哪种？肥皂洗衣粉香皂？哪种是,中性洗剂是指什么？
681,洋流到底是什么？对气候有什么影响？,洋流对气候有什么影响？
682,白癜风患者在饮食上要注意什么呢,在饮食上白癜风患者需要注意什么？
683,装修前有哪些细节易被忽略？,哪些细节在装修前容易被忽略？
684,感冒时吃什么水果好?,感冒的时候吃什么水果比较好？
685,公积金转增资本有什么意义,公积金转增资本有什么意义？
686,血沉呈阳性是怎么回事化验血沉的结果是呈阳性不知有何危机,血沉呈阳性是什么意思？
687,化学方程式怎么计算,如何计算化学方程式
688,什么是垂径定理?垂径定理的逆定理是怎样的? ,什么是垂径定理的逆定理？
689,哪些食物可以保养皮肤我的皮肤来本就很干燥,可以保养皮肤的食物有哪些？
690,请问你看过的演讲中谁的最精彩？,你看过谁的演讲最精彩？
691,月球上总共有多少座环形山,总共有多少环形山在月球上
692,请问过期的酸奶有什么用吗,过期的酸奶还有什么用？
693,什么是工程监理？,工程监理是一种什么职位？
694,柿子的中药性能？柿子都有哪些药用价值呢？,柿子有哪些药用价值？
695,脑筋急转弯猪为什么在泥塘里洗澡？,为什么猪在泥塘里洗澡？
696,经济利益合同可以附加道德行为准则吗？,可以在经济利益合同里附加道德行为准则吗？
697,列宁逝世于哪一年,列宁是哪年去世的？
698,大米饭煮多长时间能熟哦？？？//,煮多长时间大米才能熟？
699,请问绩效管理和销售管理有什么区别？公司已经有详细的绩效管理机制，,绩效管理和销售管理有什么区别？
700,老年人睡眠不好怎么治疗?,如何治疗老年人睡眠不好的毛病？
701,三皇五帝都是谁？？,三皇五帝指的都是谁？
702,成熟的标准！！！！！,成熟的标准是什么？
703,世界上最长的河流是：(  )  ,哪条河流是世界上最长的？
704,世界上最长的公路在哪,哪条公路是世界上最长的？
705,世界上最长的山脉是?,世界上最长的山脉是哪个？
706,世界上最长的动漫,世界上最长的动漫叫什么？
707,世界上最高的山在哪里？世界上最高的山在哪里啊？ ,世界上最高的山叫什么山?
708,世界上最大的花,世界上最大的花叫什么？
709,爱因斯坦的是多少。世界上智商最高的是谁,世界上智商最高的是哪位？
710,为什么螃蟹要横着爬行,螃蟹为什么要横着爬？
711,怎样能让头发长得快点,如何让头发能长得快点？
712,柠檬草花语是什么,柠檬草的花语是什么？
713,小孩为什么不吃素菜,为什么小孩不吃素菜？
714,乌龙茶有什么功效,乌龙茶有啥作用
715,徐悲鸿以画什么闻名世界?,徐悲鸿闻名世界的画是什么画
716,最小的一位数是几?,斗地主的起源
717,斗地主的起源是什么?,哪个数是最小的一位数
718,爱情三部曲是什么?,什么是爱情三部曲
719,头发稀疏怎么办?,那头发稀疏咋处理
720,海水为什么是蓝色的?,海水是什么颜色的
721,纸上谈兵的主人公是谁,哪位是纸上谈兵的主人公
722,通货膨胀与通货紧缩,解释通货膨胀
723,苏联是怎么样解体的?,哪一年苏联解体的
724,世界上最毒的植物是什么?,什么植物是世界上最毒的
725,世界上最珍贵的是什么谁能用理由说服我,什么才是世界上最珍贵的呢
726,鬼压床是怎么回事啊？有一次我晚上半夜里突然醒来发觉自己想动动不了,鬼压床
727,怎样才能使自己的内心强大起来！,怎么样能使自己的内心强大起来啊
728,怎么才能让账号更安全呢？,如何让自己的账号更安全
729,怎样才能减掉屁股上的肉？,如何把自己屁股上的肉减掉
730,发霉的书包如何清理干净？,如何清理孩子发霉的书包
731,请问扑克牌中四种花色英文名叫什么？,扑克牌里四种花色的英文名分别叫什么
732,汽车底盘装甲有什么作用？有必要做吗？,在汽车底盘装甲有什么作用？
733,"买房子需要注意哪些证件？, ",哪些证件是在买房子的时候需要的？
734,"我的孩子缺铁,请问如何给孩子补铁? ",如何给孩子补铁呢
735,用简单实验证明二氧化碳与氢氧化钠反应,请简单说明下二氧化碳和氢氧化钠的反应
736,地理华东都是哪几个省，华北是哪几个省，华南呢？,华东和华北是哪几个省
737,请问：自我怎么克服自我的恐惧心理？谢谢！31岁男。,如何克服自己的恐惧心理
738,乳清蛋白粉增重效果如何？,乳清蛋白粉的增重效果怎么样
739,热带和亚热带有什么区别？,热带和亚热带的区别是什么？
740,眼镜店里的验光机测了以后对眼睛有伤害吗,眼镜店里的验光机对眼睛有伤害吗
741,手脚容易发麻是怎么回事,为什么手脚发麻
742,“气质性病变”是什么意思？,什么是器质性病变
743,前列腺增生的治疗方法有哪些？,有哪些可以治疗前列腺的方法
744,为什么不好的主意叫馊主意？,不好的主意为什么叫馊主意
745,“青出于蓝而胜于蓝”的典故来源及含义,青出于蓝而胜于蓝的来源是什么
746,一般云层在什么高度？,一般云层有多高
747,对牛皮癣治疗有什么方法？急！我的父亲是一位多年的牛皮癣患者，去医,如何治疗牛皮藓
748,怎样做好卫生间和厨房的防渗漏？,卫生间的防渗漏怎么做
749,治疗眼肌麻痹的方法有哪些？,有哪些方法可以治疗眼肌麻痹
750,瞎子点灯这句歇后语接下来是什么?,瞎子点灯的后一句是什么
751,(脑筋急转弯):什么东西晚上才生出尾巴呢?,什么东西晚上才有尾巴
752,孩子现在学什么专业最吃香？,现在小孩学什么专业最吃香
753,电解的离子方程式写出电解氯化钠的离子方程式！,电解氯化钠的离子方程式怎么写
754,“喜欢”和“爱”的区别是什么?,喜欢和爱的区别是什么
755,有什么办法可以防止静电！,如何防止静电
756,忘记一段经历，究竟需要多久？？,多久能忘记一段经历
757,减肥的最好方法是什么?,怎样更好的减肥
758,何谓行政司机?,行政司机是什么职位
759,水垢的问题水壶用长了。里面有好多水垢，怎么能去掉呢？,如何去掉水壶里的水垢
760,鲜枣应该如何保存啊？,如何保存鲜枣
761,嘴唇干裂，是缺乏什么维生素,嘴干是缺什么
762,请问什么是地壳运动的张力？它与地壳运动的压力有什么不同？谢谢！,地壳运动的张力和压力有什么不同
763,什么样的情侣才叫情侣？,什么样才叫情侣
764,怎样才能避免和一些坏的人接触? ,如何避免和坏人接触
765,疯子与呆子有什么区别？,什么是疯子什么是呆子
766,电脑中病毒有那些路径,电脑是怎么中病毒的
767,神州七号为什么选择夜间发射？,为什么神七会选择在夜间发射
768,吃什么东西可以补血???,想补学应该吃什么？
769,"几道超简单的题谚语:瓜熟蒂落,__________后面一句是什么 ",瓜熟蒂落的后面一句是什么
770,日本和韩国为什么习惯跪着？,日本和韩国的人为什么喜欢跪着
771,什么原因造成小儿脑瘫？,造成小儿脑瘫的原因有哪些
772,你说过的最诚恳的一句话是？期待经典回答…,你说过的哪句话最诚恳
773,同居多久算事实婚姻 ,事实婚姻同居多久才算
774,长期失眠的患者都有什么危害,长期失眠有什么危害
775,人体的死穴是哪几个?具体在哪些位置,哪些是人的死穴
776,早餐怎样搭配最合理？,最合理的早餐搭配是什么
777,面部的痘痘怎么去除？,如何去除面部的痘痘
778,导致癫痫发病的原因是什么？引发癫痫病的病因都有哪些呢？,癫痫发病的原因是什么
779,请问下凹模和凸模怎么区分呢，谢谢,如何区分凹模和凸模
780,诺贝尔文学奖是从什么时候开始评选的？,什么时候开始评选的诺贝尔文学奖
781,身患感冒能与白血病患者接触吗？白血病和感冒,感冒的人能跟白血病患者接触吗
782,"""袅袅兮秋风""的下一句是什么?出自<<九歌>> ",袅袅兮秋风的下一句是什么
783,在情绪低落的时候你通常怎样化解,情绪低落的时候怎么办
784,孔孟之道，是什么？,什么是孔孟之道
785,早上喝酸奶好，还是晚上酸奶好？,酸奶是早上喝好还是晚上喝好
786,结婚好还是不结婚好? ,结婚到底好不好
787,眼霜没了可用什么代替,什么可以代替眼霜
